,adult,budget,id,imdb_id,original_language,overview,popularity,release_date,revenue,runtime,title,tmdb_id,vote_average,vote_count,belongs_to_collection,genres,production_companies,production_countries,spoken_languages
0,False,600000,woodstock+1970,tt0066580,en,"An intimate look at the Woodstock Music & Art Festival held in Bethel, NY in 1969, from preparation through cleanup, with historic access to insiders, blistering concert footage, and portraits of the concertgoers; negative and positive aspects are shown, from drug use by performers to naked fans sliding in the mud, from the collapse of the fences by the unexpected hordes to the surreal arrival of National Guard helicopters with food and medical assistance for the impromptu city of 500,000.",3.624542,1970-03-26,34505110,225,Woodstock,9459,7.1,67,,History,Wadleigh-Maurice,United States of America,English
1,False,0,storefront+hitchcock+1998,tt0120219,en,"Live performance by Robyn Hitchcock, in... well, a storefront.",0.036965,1998-03-27,0,77,Storefront Hitchcock,62695,7.0,1,,Documentary,,,
2,False,0,the+last+time+i+saw+macao+2012,tt1843840,pt,"Part memoir, part city symphony, part noir-ish B-movie adventure, the new feature from critically acclaimed film-making duo João Pedro Rodrigues and João Rui Guerra da Mata (To Die Like a Man) is a sensual, shape-shifting ode to one of the world's most mythic, alluring and exoticized cities.",0.368635,2012-08-06,0,85,The Last Time I Saw Macao,128120,6.7,3,,Documentary,Instituto do Cinema e do Audiovisual (ICA),Portugal,Português
3,False,0,never+cry+wolf+1983,tt0086005,en,"This film dramatizes the true story of Farley Mowat, when he was sent to the Canadian tundra area to collect evidence of the grievous harm the wolf population was allegedly doing to the caribou herds. In his struggle to survive in that difficult environment he studies the wolves, and realizes that the old beliefs about wolves and their supposed threat are almost totally false. Furthermore, he learns that humans represent a far greater threat to the land, and also to the wolves, a species which plays an important role in the ecosystem of the north.",3.464922,1983-10-07,0,105,Never Cry Wolf,14280,6.9,36,,Action,Walt Disney Productions,United States of America,English
4,False,0,passion+of+mind+2000,tt0160644,en,"When Marie, a widow in Provence with two daughters, locks her bedroom door and goes to sleep, she dreams about Marty, a literary agent in Manhattan who dreams equally vividly about Marie. The women look alike. Marie meets William who begins to court her. Marty meets Aaron, an accountant, becomes his friend and then his lover. Both women tell their lovers about their dream life. William is jealous, Aaron is accepting. Even though they've become lovers, Marie won't fall asleep next to William. Marie goes on holiday with William to Paris, and Marty wakes up with an ashtray from the hotel on her night stand. Are they the same person? What will unlock reality",2.224117,2000-01-07,0,105,Passion of Mind,19214,5.8,6,,Drama,,United States of America,Français
5,False,0,flood+2007,tt0790665,en,"Timely yet terrifying, The Flood predicts the unthinkable. When a raging storm coincides with high seas it unleashes a colossal tidal surge, which travels mercilessly down England's East Coast and into the Thames Estuary. Overwhelming the Barrier, torrents of water pour into the city. The lives of millions of Londoners are at stake.",6.500496,2007-08-24,0,110,Flood,6309,4.5,36,,Drama,Powercorp,United Kingdom,English
6,False,0,a+day+at+the+races+1937,tt0028772,en,"Doctor Hugo Hackenbush, Tony, and Stuffy try and save Judy's farm by winning a big race with her horse. There are a few problems. Hackenbush runs a high priced clinic for the wealthy who don't know he has his degree in Veterinary Medicine.",4.815005,1937-06-11,0,111,A Day at the Races,11939,7.5,44,,Comedy,Metro-Goldwyn-Mayer (MGM),United States of America,English
7,False,0,anything+goes+1956,tt0048954,en,"Bill Benson and Ted Adams are to appear in a Broadway show together and, while in Paris, each 'discovers' the perfect leading lady for the plum female role. Each promises the prize role to the girl they selected without informing the other until they head back across the Atlantic by liner - with each man having brought his choice along! It becomes a stormy crossing as each man has to tell his 'find' that she might not get the role after all.",0.228249,1956-04-27,0,106,Anything Goes,46007,7.5,4,,Comedy,,United States of America,English
8,False,0,nature+of+the+beast+1995,tt0113939,en,"Two men, both hiding a deadly secret, are on a murderous rampage through the desert.",1.352512,1995-10-23,0,91,Nature of the Beast,85564,6.2,11,,Thriller,MCP Sound & Media GmbH,,English
9,False,0,from+hell+it+came+1957,tt0050414,en,"A wrongfully accused South Seas prince is executed, and returns as a walking tree stump.",0.630434,1957-08-25,0,73,From Hell It Came,84058,2.6,5,,Horror,Allied Artists Pictures,United States of America,English
